tweet,timestamp
@cb_doge WhatsApp is not secure at all,2024-07-06T15:11:56Z
@tlbtlbtlb Statistics is a dumb way to assess aircraft vulnerabilities and will require many lost lives for a sufficient sample set,2024-07-06T15:11:22Z
@JohnStossel @RandPaul !,2024-07-06T15:01:41Z
@unlimited_ls !,2024-07-06T14:47:18Z
@Rainmaker1973 !,2024-07-06T14:20:27Z
@Teslaconomics Cool,2024-07-06T13:28:53Z
@tsarnick Small potatoes,2024-07-06T01:29:05Z
Flight 5 in 4 weeks,2024-07-06T00:20:02Z
@BasedMikeLee That’s just every flight these days,2024-07-06T00:17:20Z
@lukas_m_ziegler @Raspberry_Pi Maybe Tesla should built it. Would be so cute.,2024-07-06T00:14:30Z
Wise words from @AriEmanuel,2024-07-06T00:10:08Z
Good one sigh,2024-07-06T00:08:19Z
When is there not one – just one – even *attempted* prosecution of that Epstein (Bill Gates & Reid Hoffman come to mind) client list.   Either FBI does their duty or the case for an entire departmental reset or abolishment is strong.,2024-07-06T00:04:41Z
@LauraLoomer !!,2024-07-06T00:00:41Z
@mchooyah Yeah,2024-07-05T23:57:14Z
Those who oppose this are traitors.  All Caps: TRAITORS  What is the penalty for traitors again?,2024-07-05T23:53:05Z
Real question … since we obviously haven’t had one for a while lmao,2024-07-05T23:50:04Z
@Tslachan 🤷‍♂️,2024-07-05T23:49:29Z
@hagaetc Accurate,2024-07-05T23:48:37Z
@TheRabbitHole84 !!   Really??,2024-07-05T23:47:13Z
@tsarnick I mean yeah 🤷‍♂️   Just need to raise them well and hope they’re nice to us,2024-07-05T23:44:06Z
@HSajwanization Certainly try,2024-07-05T23:42:03Z
@Chesschick01 @ChrisJBakke Whoever controls the teleprompter is the real boss,2024-07-05T23:41:29Z
@sampullara Must be working at least a little bit,2024-07-05T23:39:46Z
@EdKrassen Not long,2024-07-05T23:25:41Z
@mysteriouskat Have kids,2024-07-05T23:22:58Z
@ChrisJBakke Real question … since we obviously haven’t had one for a while lmao,2024-07-05T23:09:02Z
@ChrisJBakke 😂,2024-07-05T23:08:27Z
@SydneyLWatson !,2024-07-05T16:08:07Z
@JonErlichman Progress,2024-07-05T16:07:23Z
@jk_rowling Wise,2024-07-05T16:05:37Z
The legacy media are just propaganda puppets.  𝕏 has the truth.,2024-07-05T15:44:07Z
@Klaus_Arminius @herqles_es !!,2024-07-05T15:41:49Z
@SeefyCar @WR4NYGov 💯,2024-07-05T14:39:17Z
@eyeslasho !!,2024-07-05T14:33:24Z
@DavidSacks Obviously,2024-07-05T12:57:39Z
@andst7 🤣,2024-07-05T12:26:08Z
@ajtourville Yeah!,2024-07-05T06:47:36Z
@libsoftiktok !,2024-07-05T06:46:04Z
@Teslaconomics Yup,2024-07-05T05:27:57Z
🚀🚀🇺🇸🇺🇸 AMERICA  🇺🇸🇺🇸🚀🚀,2024-07-05T05:03:26Z
@teslaownersSV 💯,2024-07-05T04:58:03Z
@Teslaconomics 😂,2024-07-05T04:54:02Z
@cb_doge Yeah!,2024-07-05T04:46:49Z
@Scobleizer @karpathy Grok’s rate of improvement is accelerating,2024-07-05T04:46:26Z
@JamesLucasIT Beautiful,2024-07-05T04:35:58Z
@MarcusHouse Ridiculously giant,2024-07-05T04:17:34Z
@WholeMarsBlog May he continue to have fun on his yachts. I prefer to work.,2024-07-05T04:04:58Z
@MrAndyNgo !,2024-07-05T04:00:39Z
@MarioNawfal Exactly,2024-07-05T03:59:33Z
Tesla Gigafactory Supercomputer Cluster,2024-07-05T03:44:35Z
🇺🇸🇺🇸 Happy Independence Day! 🇺🇸🇺🇸,2024-07-04T17:37:57Z
@RichardHanania @NateSilver538 😂,2024-07-04T16:05:05Z
"@jgebbia Something is foul in the state of Denmark when rape victims are charged with a crime for defending themselves, but the rapist gets away free",2024-07-04T16:04:30Z
@TrungTPhan 😂,2024-07-04T15:04:32Z
@EndWokeness 😂,2024-07-04T15:01:31Z
"@dom_lucre She must have the memory of a goldfish. Trump was already President for 4 years and obviously none of his actions matched those of Hitler!  Unless you’re killing millions in wars and committing genocide, you’re not Hitler.",2024-07-04T15:00:51Z
@Austen 😂,2024-07-04T05:26:14Z
